Date,Price,Open,High,Low,Vol.,Change %
12/30/2022,1826.2,1821.8,1832.4,1819.8,107.50K,0.01%
12/29/2022,1826,1812.3,1827.3,1811.2,105.99K,0.56%
12/28/2022,1815.8,1822.4,1822.8,1804.2,118.08K,-0.40%
12/27/2022,1823.1,1808.2,1841.9,1808.0,159.62K,0.74%
12/26/2022,1809.7,1805.8,1812.0,1805.6,,0.30%
12/23/2022,1804.2,1801.0,1812.2,1798.9,105.46K,0.50%
12/22/2022,1795.3,1823.8,1829.3,1792.7,175.77K,-1.65%
12/21/2022,1825.4,1827.9,1833.8,1821.3,110.18K,0.00%
12/20/2022,1825.4,1796.8,1832.4,1793.7,197.50K,1.54%
12/19/2022,1797.7,1801.6,1808.6,1793.2,86.09K,-0.14%
12/16/2022,1800.2,1786.9,1804.2,1783.9,128.75K,0.69%
12/15/2022,1787.8,1818.7,1819.7,1782.0,185.32K,-1.70%
12/14/2022,1818.7,1822.6,1825.4,1806.2,143.80K,-0.37%
12/13/2022,1825.5,1792.3,1836.9,1791.8,230.91K,1.85%
12/12/2022,1792.3,1808.0,1809.3,1789.0,107.78K,-1.02%
12/9/2022,1810.7,1801.9,1819.0,1800.1,150.94K,0.51%
12/8/2022,1801.5,1799.5,1806.9,1793.2,116.27K,0.19%
12/7/2022,1798,1783.3,1803.2,1780.5,155.57K,0.88%
12/6/2022,1782.4,1780.8,1793.2,1779.1,127.86K,0.06%
12/5/2022,1781.3,1810.5,1822.9,1778.1,179.82K,-1.56%
12/2/2022,1809.6,1817.0,1818.7,1791.8,183.72K,-0.31%
12/1/2022,1815.2,1783.1,1818.4,1782.9,226.15K,3.14%
11/30/2022,1759.9,1763.4,1784.2,1758.2,192.24K,-0.22%
11/29/2022,1763.7,1754.6,1773.4,1752.9,127.32K,0.48%
11/28/2022,1755.3,1771.1,1778.5,1753.3,128.55K,0.07%
11/25/2022,1754,1751.0,1761.2,1745.9,134.30K,-0.08%
11/24/2022,1755.4,1753.1,1759.0,1752.6,,0.56%
11/23/2022,1745.6,1740.8,1754.9,1719.0,167.77K,0.33%
11/22/2022,1739.9,1739.7,1751.0,1737.6,153.09K,0.02%
11/21/2022,1739.6,1752.0,1755.0,1733.9,166.08K,-0.84%
11/18/2022,1754.4,1763.1,1769.9,1749.2,137.33K,-0.49%
11/17/2022,1763,1777.0,1777.6,1756.6,169.10K,-0.72%
11/16/2022,1775.8,1782.0,1788.2,1773.4,200.76K,-0.06%
11/15/2022,1776.8,1774.0,1791.8,1770.2,283.02K,-0.01%
11/14/2022,1776.9,1769.4,1778.4,1755.8,191.35K,0.42%
11/11/2022,1769.4,1758.3,1775.6,1750.3,227.04K,0.90%
11/10/2022,1753.7,1709.7,1760.6,1705.5,305.72K,2.33%
11/9/2022,1713.7,1715.2,1725.8,1705.1,239.65K,-0.13%
11/8/2022,1716,1678.0,1720.4,1667.1,297.62K,2.11%
11/7/2022,1680.5,1678.6,1685.6,1670.0,187.59K,0.23%
11/4/2022,1676.6,1631.7,1686.4,1631.1,293.52K,2.80%
11/3/2022,1630.9,1639.1,1643.2,1618.3,254.70K,-1.16%
11/2/2022,1650,1651.4,1673.1,1637.4,220.93K,0.02%
11/1/2022,1649.7,1636.1,1660.3,1633.6,197.98K,0.55%
10/31/2022,1640.7,1647.2,1648.5,1634.5,128.41K,-0.25%
10/28/2022,1644.8,1667.2,1670.9,1640.7,196.36K,-0.93%
10/27/2022,1660.3,1664.1,1669.2,1654.4,2.30K,-0.25%
10/26/2022,1664.4,1652.3,1674.0,1652.3,0.32K,0.67%
10/25/2022,1653.3,1649.6,1660.5,1637.0,0.59K,0.25%
10/24/2022,1649.2,1662.0,1666.3,1643.6,0.15K,-0.14%
10/21/2022,1651.5,1626.1,1657.2,1618.1,0.64K,1.21%
10/20/2022,1631.8,1628.9,1644.3,1621.2,0.50K,0.17%
10/19/2022,1629,1652.4,1654.0,1628.0,0.30K,-1.31%
10/18/2022,1650.7,1651.0,1660.4,1647.0,0.72K,-0.49%
10/17/2022,1658.9,1646.3,1667.6,1645.2,0.60K,0.92%
10/14/2022,1643.7,1665.6,1672.1,1640.8,0.64K,-1.99%
10/13/2022,1677,1680.2,1688.9,1648.3,237.01K,-0.03%
10/12/2022,1677.5,1673.4,1685.1,1668.0,131.77K,-0.50%
10/11/2022,1686,1675.6,1691.3,1667.5,171.81K,0.64%
10/10/2022,1675.2,1703.4,1707.4,1672.5,157.15K,-1.99%
10/7/2022,1709.3,1721.0,1722.8,1698.4,157.45K,-0.67%
10/6/2022,1720.8,1725.5,1734.2,1714.8,139.44K,0.00%
10/5/2022,1720.8,1734.4,1736.6,1708.8,173.22K,-0.56%
10/4/2022,1730.5,1708.4,1738.7,1704.0,205.08K,1.67%
10/3/2022,1702,1670.5,1710.4,1666.5,215.49K,1.79%
9/30/2022,1672,1669.5,1684.4,1667.5,179.99K,0.20%
9/29/2022,1668.6,1669.0,1673.1,1649.3,201.96K,0.21%
9/28/2022,1665.1,1631.4,1666.0,1618.0,1.90K,2.08%
9/27/2022,1631.1,1626.7,1643.5,1626.7,0.83K,0.18%
9/26/2022,1628.2,1643.0,1651.0,1623.2,0.64K,-1.32%
9/23/2022,1650,1674.6,1674.6,1642.7,1.36K,-1.56%
9/22/2022,1676.1,1674.3,1688.0,1659.0,0.32K,0.34%
9/21/2022,1670.5,1666.8,1685.9,1657.6,0.17K,0.29%
9/20/2022,1665.7,1682.3,1682.3,1665.9,0.07K,-0.41%
9/19/2022,1672.6,1680.2,1680.2,1663.5,0.18K,-0.32%
9/16/2022,1677.9,1665.6,1680.0,1659.1,0.32K,0.39%
9/15/2022,1671.4,1695.0,1695.0,1664.8,0.28K,-1.87%
9/14/2022,1703.2,1704.0,1709.7,1701.1,0.17K,-0.51%
9/13/2022,1712,1733.4,1733.4,1703.8,0.22K,-1.36%
9/12/2022,1735.6,1731.0,1737.3,1728.0,0.04K,0.70%
9/9/2022,1723.6,1716.0,1726.4,1716.0,0.02K,0.48%
9/8/2022,1715.3,1723.4,1725.5,1713.5,0.20K,-0.44%
9/7/2022,1722.8,1722.8,1722.8,1722.8,173.62K,0.87%
9/6/2022,1707.9,1719.7,1719.7,1714.2,0.02K,-0.98%
9/5/2022,1724.8,1719.2,1726.6,1718.8,,0.36%
9/4/2022,1718.7,1723.6,1723.8,1718.7,,0.06%
9/2/2022,1717.7,1709.6,1709.6,1709.6,0.00K,0.78%
9/1/2022,1704.4,1708.0,1708.0,1707.0,0.01K,-0.99%
8/31/2022,1721.4,1721.4,1721.4,1721.4,176.73K,-0.59%
8/30/2022,1731.6,1731.6,1731.6,1731.6,130.66K,-0.51%
8/29/2022,1740.5,1740.1,1748.6,1722.5,4.69K,-0.01%
8/26/2022,1740.6,1762.3,1762.3,1737.0,7.63K,-1.20%
8/25/2022,1761.8,1755.1,1769.3,1753.8,4.95K,0.56%
8/24/2022,1752,1752.2,1759.7,1745.5,4.64K,0.03%
8/23/2022,1751.5,1739.5,1757.6,1733.8,5.04K,0.74%
8/22/2022,1738.6,1750.5,1752.3,1730.4,7.38K,-0.82%
8/19/2022,1753,1762.7,1762.7,1749.5,6.91K,-0.46%
8/18/2022,1761.1,1766.3,1775.9,1758.9,3.92K,-0.31%
8/17/2022,1766.5,1780.5,1786.3,1763.7,5.60K,-0.72%
8/16/2022,1779.4,1785.2,1787.6,1775.2,3.52K,-0.48%
8/15/2022,1787.9,1808.2,1808.2,1777.6,5.56K,-0.96%
8/12/2022,1805.2,1793.9,1808.6,1789.9,5.25K,0.47%
8/11/2022,1796.8,1797.9,1804.3,1788.5,4.51K,-0.36%
8/10/2022,1803.3,1799.8,1814.4,1793.0,8.71K,0.10%
8/9/2022,1801.5,1794.0,1806.0,1788.5,6.34K,0.40%
8/8/2022,1794.3,1780.3,1795.5,1776.2,4.37K,0.78%
8/5/2022,1780.5,1796.0,1800.5,1769.8,7.23K,-0.87%
8/4/2022,1796.2,1771.9,1801.0,1769.5,9.44K,1.70%
8/3/2022,1766.1,1767.4,1779.1,1759.7,6.90K,-0.76%
8/2/2022,1779.7,1779.3,1794.8,1766.2,9.85K,0.12%
8/1/2022,1777.6,1772.2,1781.8,1764.1,7.76K,0.34%
7/29/2022,1771.5,1762.4,1774.2,1758.4,7.96K,0.71%
7/28/2022,1759,1741.3,1764.0,1740.9,20.39K,2.07%
7/27/2022,1723.3,1720.0,1743.0,1713.8,2.60K,0.08%
7/26/2022,1721.9,1721.8,1729.9,1715.9,0.77K,-0.08%
7/25/2022,1723.2,1730.1,1734.3,1717.5,0.52K,-0.47%
7/22/2022,1731.4,1721.0,1740.3,1716.4,0.69K,0.82%
7/21/2022,1717.3,1697.1,1722.6,1682.8,0.53K,0.79%
7/20/2022,1703.9,1713.7,1715.0,1694.6,0.16K,-0.60%
7/19/2022,1714.1,1711.2,1719.1,1707.7,0.10K,0.02%
7/18/2022,1713.8,1710.3,1724.7,1708.9,0.57K,0.37%
7/15/2022,1707.5,1712.7,1716.7,1703.5,0.27K,-0.14%
7/14/2022,1709.9,1738.7,1738.7,1700.6,0.55K,-1.70%
7/13/2022,1739.5,1728.0,1748.2,1710.9,0.18K,0.61%
7/12/2022,1728.9,1737.2,1738.8,1726.0,0.09K,-0.40%
7/11/2022,1735.9,1741.8,1744.7,1735.1,0.75K,-0.62%
7/8/2022,1746.7,1743.7,1755.4,1737.0,0.66K,0.15%
7/7/2022,1744.1,1743.0,1748.1,1742.4,0.79K,0.16%
7/6/2022,1741.3,1771.9,1774.9,1736.8,1.03K,-1.56%
7/5/2022,1768.9,1817.0,1817.0,1768.9,1.33K,0.28%
7/4/2022,1763.9,1814.4,1815.2,1763.0,310.37K,-2.33%
7/1/2022,1805.9,1810.3,1816.8,1788.9,0.23K,-0.34%
6/30/2022,1812,1816.3,1830.0,1811.5,0.10K,-0.55%
6/29/2022,1822,1822.0,1822.0,1822.0,155.54K,0.04%
6/28/2022,1821.2,1823.6,1830.9,1819.1,111.40K,-0.20%
6/27/2022,1824.8,1839.6,1842.8,1821.8,143.82K,-0.30%
6/24/2022,1830.3,1824.2,1833.7,1817.7,139.72K,0.03%
6/23/2022,1829.8,1839.7,1848.9,1823.5,167.07K,-0.47%
6/22/2022,1838.4,1834.9,1850.3,1824.5,149.55K,-0.02%
6/21/2022,1838.8,1840.6,1848.4,1830.7,176.30K,0.00%
6/20/2022,1838.8,1840.6,1848.4,1830.7,176.30K,-0.10%
6/17/2022,1840.6,1859.3,1861.5,1836.1,141.72K,-0.50%
6/16/2022,1849.9,1835.8,1860.2,1816.3,180.89K,1.67%
6/15/2022,1819.6,1809.7,1845.4,1808.4,203.42K,0.34%
6/14/2022,1813.5,1820.9,1833.3,1806.1,165.15K,-1.00%
6/13/2022,1831.8,1879.0,1882.5,1819.0,252.54K,-2.33%
6/10/2022,1875.5,1850.4,1879.6,1826.5,267.20K,1.23%
6/9/2022,1852.8,1855.1,1857.8,1841.9,131.29K,-0.20%
6/8/2022,1856.5,1855.0,1862.4,1846.6,114.14K,0.24%
6/7/2022,1852.1,1843.5,1858.2,1838.5,119.21K,0.46%
6/6/2022,1843.7,1853.7,1861.2,1843.0,103.18K,-0.35%
6/3/2022,1850.2,1872.6,1878.6,1849.7,115.34K,-1.13%
6/2/2022,1871.4,1849.9,1874.4,1846.5,127.47K,1.23%
6/1/2022,1848.7,1840.0,1853.0,1830.2,158.04K,0.02%
5/31/2022,1848.4,1856.5,1867.9,1837.6,201.80K,0.00%
5/30/2022,1848.4,1856.5,1867.9,1837.6,201.80K,-0.48%
5/27/2022,1857.3,1855.1,1866.9,1851.9,123.76K,0.36%
5/26/2022,1850.6,1854.5,1855.0,1840.4,1.12K,0.08%
5/25/2022,1849.2,1867.6,1869.0,1843.0,0.65K,-1.03%
5/24/2022,1868.4,1855.4,1871.3,1851.3,1.15K,0.96%
5/23/2022,1850.6,1847.4,1865.0,1847.4,0.84K,0.32%
5/20/2022,1844.7,1842.7,1848.8,1834.0,0.15K,0.04%
5/19/2022,1844,1818.3,1850.4,1818.3,0.47K,1.37%
5/18/2022,1819,1816.2,1825.1,1808.9,0.20K,-0.16%
5/17/2022,1821.9,1827.2,1834.9,1814.3,0.17K,0.28%
5/16/2022,1816.8,1815.0,1828.0,1790.0,0.22K,0.30%
5/13/2022,1811.3,1821.0,1830.0,1801.2,0.09K,-0.91%
5/12/2022,1827.9,1857.9,1859.6,1824.0,0.08K,-1.57%
5/11/2022,1857.1,1841.5,1858.4,1837.4,0.10K,0.69%
